model,lineage,google/gemma-2-9b-it,ibm-granite/granite-3.3-8b-instruct,meta-llama/Llama-3.1-8B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,allenai/OLMo-2-1124-7B-Instruct,microsoft/phi-4,Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen/Qwen2.5-32B-Instruct-AWQ,Qwen/Qwen2.5-7B-Instruct-AWQ,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,01-ai/Yi-1.5-9B-Chat
google/gemma-2-9b-it,Gemma,1.000,0.272,0.220,0.174,0.171,0.124,0.076,0.192,0.189,0.123,0.206
ibm-granite/granite-3.3-8b-instruct,Granite,0.272,1.000,0.277,0.327,0.135,0.206,0.209,0.375,0.401,0.238,0.302
meta-llama/Llama-3.1-8B-Instruct,Llama,0.220,0.277,1.000,0.152,0.127,0.311,0.219,0.288,0.197,0.304,0.155
mistralai/Mistral-7B-Instruct-v0.3,Mistral,0.174,0.327,0.152,1.000,0.030,0.203,0.333,0.299,0.222,0.367,0.209
allenai/OLMo-2-1124-7B-Instruct,OLMo,0.171,0.135,0.127,0.030,1.000,0.024,0.087,0.102,0.166,-0.128,0.177
microsoft/phi-4,Phi,0.124,0.206,0.311,0.203,0.024,1.000,0.233,0.229,0.087,0.153,0.207
Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen,0.076,0.209,0.219,0.333,0.087,0.233,1.000,0.284,0.202,0.290,0.174
Qwen/Qwen2.5-32B-Instruct-AWQ,Qwen,0.192,0.375,0.288,0.299,0.102,0.229,0.284,1.000,0.409,0.232,0.244
Qwen/Qwen2.5-7B-Instruct-AWQ,Qwen,0.189,0.401,0.197,0.222,0.166,0.087,0.202,0.409,1.000,0.066,0.291
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen,0.123,0.238,0.304,0.367,-0.128,0.153,0.290,0.232,0.066,1.000,0.094
01-ai/Yi-1.5-9B-Chat,Yi,0.206,0.302,0.155,0.209,0.177,0.207,0.174,0.244,0.291,0.094,1.000
