model,lineage,google/gemma-2-9b-it,ibm-granite/granite-3.3-8b-instruct,meta-llama/Llama-3.1-8B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,allenai/OLMo-2-1124-7B-Instruct,microsoft/phi-4,Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen/Qwen2.5-32B-Instruct-AWQ,Qwen/Qwen2.5-7B-Instruct-AWQ,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,01-ai/Yi-1.5-9B-Chat
google/gemma-2-9b-it,Gemma,1.000,0.648,0.735,0.464,0.637,0.542,0.585,0.536,0.608,0.650,0.764
ibm-granite/granite-3.3-8b-instruct,Granite,0.648,1.000,0.710,0.384,0.619,0.794,0.798,0.779,0.793,0.768,0.705
meta-llama/Llama-3.1-8B-Instruct,Llama,0.735,0.710,1.000,0.453,0.687,0.606,0.655,0.591,0.658,0.691,0.781
mistralai/Mistral-7B-Instruct-v0.3,Mistral,0.464,0.384,0.453,1.000,0.571,0.293,0.345,0.293,0.361,0.416,0.463
allenai/OLMo-2-1124-7B-Instruct,OLMo,0.637,0.619,0.687,0.571,1.000,0.483,0.539,0.470,0.551,0.619,0.672
microsoft/phi-4,Phi,0.542,0.794,0.606,0.293,0.483,1.000,0.827,0.859,0.778,0.670,0.599
Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen,0.585,0.798,0.655,0.345,0.539,0.827,1.000,0.871,0.850,0.694,0.674
Qwen/Qwen2.5-32B-Instruct-AWQ,Qwen,0.536,0.779,0.591,0.293,0.470,0.859,0.871,1.000,0.824,0.630,0.588
Qwen/Qwen2.5-7B-Instruct-AWQ,Qwen,0.608,0.793,0.658,0.361,0.551,0.778,0.850,0.824,1.000,0.684,0.678
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen,0.650,0.768,0.691,0.416,0.619,0.670,0.694,0.630,0.684,1.000,0.702
01-ai/Yi-1.5-9B-Chat,Yi,0.764,0.705,0.781,0.463,0.672,0.599,0.674,0.588,0.678,0.702,1.000
